original,recovered
-1.0094,-1.1333621248889891
-0.9767,-1.0959495966013344
-0.9433,-1.0575748274257775
-0.909,-1.0182729399530002
-0.874,-0.9780799925854111
-0.8383,-0.9370329446338665
-0.8019,-0.895169620508774
-0.7648,-0.8525286730415615
-0.7271,-0.809149545973369
-0.6888,-0.7650724356486621
-0.6499,-0.7203382519522805
-0.6105,-0.6749885785291817
-0.5706,-0.6290656323268831
-0.5303,-0.5826122225012789
-0.4896,-0.5356717087271504
-0.4484,-0.488287958955294
-0.407,-0.4405053066587384
-0.3652,-0.3923685076110511
-0.3232,-0.34392269624018224
-0.281,-0.2952133416017417
-0.2386,-0.246286203015963
-0.196,-0.19718728541296193
-0.1534,-0.14796279443117
-0.1107,-0.09865909131407369
-0.068,-0.04932264765058808
-0.0252,-4.533928787964214e-12
0.0174,0.04926229552119732
0.06,0.09841770874016309
0.1024,0.14741978081192603
0.1446,0.19622216960004574
0.1867,0.24477869491297888
0.2285,0.29304338358250726
0.2699,0.3409705143344731
0.3111,0.38851466240684285
0.3518,0.4356307438703735
0.3922,0.4822740596074928
0.4321,0.5284003389053452
0.4715,0.5739657826193801
0.5105,0.6189271058643017
0.5488,0.6632415801896991
0.5865,0.7068670751982177
0.6237,0.7497620995647098
0.6601,0.7918858414154414
0.6959,0.8331982080270841
0.7309,0.8736598648059459
0.7652,0.9132322735086378
0.7986,0.951877729666154
0.8312,0.989559399174201
0.863,1.0262413540134394
0.8939,1.0618886070642395
0.9238,1.0964671459814739
0.9528,1.1299439660958495
0.9809,1.162287102309298
1.0079,1.1934656599529765
1.0339,1.223449844577514
1.0588,1.2522109906462386
1.0827,1.2797215891032647
1.1055,1.3059553137894684
1.1271,1.3308870466805969
1.1477,1.3544929019229406
1.167,1.376750248643276
1.1852,1.3976377325110227
1.2022,1.4171352960318666
1.2179,1.435224197553401
1.2325,1.4518870289646664
1.2458,1.467107732072821
1.2578,1.4808716136415288
1.2686,1.4931653590770404
1.2781,1.503977044749325
1.2863,1.513296148937022
1.2933,1.5211135613863909
1.2989,1.5274215914758673
1.3032,1.5322139749792603
1.3062,1.5354858794220667
1.3079,1.5372339080268254
1.3083,1.5374561022448658
1.3074,1.5361519428732757
1.3051,1.5333223497573374
1.3016,1.5289696800801496
1.2967,1.5230977252425748
1.2905,1.5157117063381107
1.283,1.5068182682287072
1.2743,1.4964254722289745
1.2642,1.4845427874076513
1.2528,1.4711810805166066
1.2402,1.4563526045590414
1.2264,1.4400709860099328
1.2112,1.4223512107031486
1.1949,1.4032096084009829
1.1773,1.3826638360632144
1.1586,1.360732859834103
1.1386,1.3374369357670175
1.1175,1.3127975893076735
1.0952,1.2868375935582044
1.0718,1.2595809463455014
1.0473,1.2310528461184735
1.0218,1.2012796667000312
0.9951,1.1702889309207516
0.9674,1.1381092831622912
0.9387,1.104770460839691
0.9091,1.0703032648527788
0.8784,1.0347395290378756
0.8469,0.9981120886520132
0.8144,0.9604547479228052
0.7811,0.9218022466980371
0.7469,0.8821902262299056
0.7119,0.8416551941296871
0.6761,0.8002344885294066
0.6396,0.7579662414878389
0.6024,0.7148893416789028
0.5644,0.6710433964011742
0.5259,0.6264686929478902
0.4867,0.5812061593774132
0.447,0.5352973247246674
0.4067,0.48878427869457985
0.3659,0.44170963087900916
0.3246,0.39411646953908547
0.2829,0.3460483199952402
0.2409,0.2975491026675469
0.1984,0.2486630908092805
0.1557,0.19943486797683507
0.1127,0.1499092852793399
0.0694,0.10013141845145723
0.0259,0.050146524792950675
-0.0177,1.8666845846837532e-11
-0.0614,-0.05026266493741871
-0.1053,-0.10059592712048093
-0.1491,-0.1509542347119061
-0.193,-0.2012920701017467
-0.2368,-0.25156399283332714
-0.2806,-0.301724682377005
-0.3242,-0.3517289806903362
-0.3677,-0.4015319345222105
-0.411,-0.45108883741888794
-0.454,-0.5003552713902452
-0.4968,-0.549287148195001
-0.5393,-0.5978407502041644
-0.5814,-0.6459727708024812
-0.6232,-0.6936403542882205
-0.6645,-0.7408011352322582
-0.7053,-0.787413277258055
-0.7457,-0.8334355112048304
-0.7856,-0.8788271726369519
-0.8248,-0.923548238663322
-0.8635,-0.9675593640313771
-0.9015,-1.0108219164611036
-0.9389,-1.0532980111854
-0.9756,-1.094950544664006
-1.0115,-1.1357432274391284
-1.0467,-1.1756406161019397
-1.081,-1.2146081443400552
-1.1146,-1.2526121530371868
-1.1473,-1.2896199193971865
-1.1791,-1.3255996850658391
-1.21,-1.3605206832248218
-1.2399,-1.3943531646334382
-1.2689,-1.427068422594869
-1.2969,-1.458638816824883
-1.3239,-1.4890377962021715
-1.3499,-1.5182399203806511
-1.3747,-1.5462208802454016
-1.3985,-1.572957517195094
-1.4213,-1.5984278412350927
-1.4428,-1.6226110478666795
-1.4633,-1.6454875337591748
-1.4826,-1.667038911193023
-1.5007,-1.687248021263267
-1.5176,-1.7060989458341207
-1.5333,-1.72357701823675
-1.5479,-1.7396688327036745
-1.5611,-1.7543622525345568
-1.5732,-1.767646416989515
-1.584,-1.7795117469074364
-1.5935,-1.7899499490481117
-1.6018,-1.7989540191583755
-1.6088,-1.806518243763767
-1.6146,-1.8126382006885795
-1.619,-1.8173107583084966
-1.6222,-1.8205340735413111
-1.6241,-1.8223075885825901
-1.6247,-1.8226320263944082
-1.624,-1.8215093849565767
-1.622,-1.8189429302910742
-1.6188,-1.8149371882716616
-1.6143,-1.809497935231873
-1.6085,-1.8026321873858373
-1.6014,-1.7943481890775763
-1.5931,-1.7846553998756136
-1.5835,-1.7735644805308965
-1.5727,-1.7610872778171713
-1.5607,-1.7472368082740801
-1.5474,-1.7320272408743254
-1.5329,-1.7154738786373227
-1.5172,-1.6975931392128005
-1.5004,-1.6784025344588083
-1.4824,-1.657920649039582
-1.4632,-1.6361671180696473
-1.4429,-1.6131626038314801
-1.4215,-1.5889287715949072
-1.399,-1.5634882645672792
-1.3754,-1.5368646780042794
-1.3507,-1.5090825325119912
-1.3251,-1.4801672465715972
-1.2984,-1.4501451083187888
-1.2707,-1.4190432466106337
-1.242,-1.3868896014132626
-1.2124,-1.3537128935443592
-1.1819,-1.3195425938049428
-1.1506,-1.2844088915354903
-1.1183,-1.2483426626318683
-1.0852,-1.2113754370570176
-1.0513,-1.1735393658846796
-1.0166,-1.1348671879118357
-0.9812,-1.0953921958768056
-0.9451,-1.0551482023202283
-0.9082,-1.014169505126362
-0.8707,-0.9724908527823205
-0.8326,-0.9301474093929935
-0.7939,-0.8871747194894819
-0.7546,-0.8436086726689559
-0.7148,-0.7994854681038109
-0.6744,-0.7548415789579902
-0.6336,-0.7097137167482542
-0.5924,-0.6641387956880584
-0.5507,-0.6181538970515262
-0.5087,-0.5717962335948307
-0.4664,-0.5251031140720187
-0.4237,-0.4781119078820528
-0.3808,-0.4308600098835055
-0.3376,-0.3833848054129808
-0.2943,-0.33572363554293816
-0.2507,-0.28791376261414237
-0.2071,-0.23999233607748505
-0.1633,-0.19199635867941667
-0.1195,-0.14396265302464906
-0.0756,-0.09592782854922322
-0.0317,-0.047928248936403905
0.0121,-7.187028749910951e-12
0.0559,0.047821141883454765
0.0996,0.09549974091422009
0.1432,0.14300073229939247
0.1866,0.19028945219617338
0.2298,0.2373316669894151
0.2728,0.2840936019265895
0.3155,0.3305419690766586
0.358,0.37664399458746833
0.4001,0.42236744521716096
0.4419,0.46768065411607496
0.4834,0.5125525458365726
0.5244,0.5569526605491987
0.565,0.6008511774446257
0.6051,0.6442189373018462
0.6448,0.6870274642041069
0.684,0.7292489863851922
0.7226,0.7708564561896961
0.7606,0.8118235691320334
0.7981,0.8521247820400558
0.835,0.8917353302702442
0.8712,0.930631243982572
0.9068,0.9687893634642893
0.9417,1.0061873534929877
0.9759,1.042803716730489
1.0094,1.0786178061402343
1.0422,1.1136098364219884
1.0742,1.1477608944588749
1.1055,1.181052948772873
1.1359,1.2134688579860837
1.1656,1.2449923782862173
1.1944,1.2756081698959032
1.2224,1.3053018025465806
1.2495,1.3340597599588333
1.2758,1.361869443332206
1.3012,1.388719173848613
1.3257,1.4145981941945864
1.3494,1.439496669108706
1.3721,1.4634056849616242
1.3939,1.4863172483771792
1.4148,1.5082242839041462
1.4348,1.529120630749191
1.4538,1.5490010385826363
1.4719,1.5678611624296426
1.4891,1.5856975566603664
1.5053,1.6025076680936405
1.5205,1.6182898282296463
1.5348,1.6330432446279497
1.5482,1.6467679914481783
1.5605,1.6594649991714605
1.572,1.6711360435216047
1.5825,1.6817837336057662
1.592,1.691411499295175
1.6006,1.7000235778672044
1.6082,1.7076249999308295
1.6149,1.71422157465814
1.6207,1.7198198743453283
1.6255,1.7244272183271065
1.6294,1.7280516562691428
1.6324,1.7307019508636978
1.6345,1.732387559954086
1.6357,1.7331186181141611
1.636,1.732905917709438
1.6354,1.7317608894668808
1.6339,1.7296955825808082
1.6316,1.7267226443826809
1.6285,1.722855299602862
1.6245,1.7181073292527387
1.6196,1.7124930491557961
1.614,1.7060272881564675
1.6076,1.698725366035755
1.6003,1.6906030711627054
1.5924,1.681676637910978
1.5836,1.671962723869753
1.5741,1.6614783868782514
1.5639,1.6502410619131582
1.553,1.6382685378581376
1.5414,1.6255789341845621
1.5292,1.612190677572477
1.5163,1.5981224785005965
1.5027,1.583393307833993
1.4885,1.5680223734378869
1.4737,1.5520290968456558
1.4584,1.5354330900089161
1.4425,1.5182541321571839
1.426,1.5005121467942373
1.409,1.4822271788579369
1.3915,1.463419372069795
1.3735,1.4441089465001593
1.355,1.4243161763743386
1.3361,1.4040613681445326
1.3167,1.3833648388518232
1.297,1.362246894801952
1.2768,1.340727810577966
1.2563,1.3188278084122125
1.2354,1.2965670379394887
1.2142,1.2739655563524828
1.1927,1.2510433089799304
1.1708,1.2278201103071895
1.1487,1.204315625458193
1.1263,1.1805493521569548
1.1037,1.1565406031860483
1.0809,1.1323084893586457
1.0579,1.107871903019884
1.0346,1.0832495020925244
1.0113,1.0584596946809575
0.9877,1.0335206242468145
0.964,1.008450155368506
0.9403,0.983265860096157
0.9164,0.9579850049125042
0.8924,0.9326245383094038
0.8684,0.9072010789886942
0.8443,0.8817309046952477
0.8202,0.8562299416890997
0.796,0.8307137548626264
0.7719,0.8051975385078345
0.7478,0.7796961077378349
0.7237,0.7542238905657269
0.6996,0.7287949206431144
0.6756,0.7034228306595818
0.6517,0.6781208464035462
0.6278,0.6529017814839555
0.6041,0.6277780327114043
0.5804,0.6027615761363514
0.5569,0.5778639637412011
0.5334,0.5530963207821229
0.5101,0.5284693437756655
0.487,0.50399329912425
0.464,0.4796780223739121
0.4412,0.45553291809672036
0.4186,0.4315669603895145
0.3961,0.4077886939798394
0.3738,0.38420623592910413
0.3518,0.3608272779222624
0.3299,0.337659089132586
0.3083,0.31470851964930296
0.2868,0.2919820044552518
0.2656,0.26948556794097
0.2447,0.24722482894095496
0.2239,0.22520500627727594
0.2034,0.20343092479502467
0.1832,0.18190702187353017
0.1632,0.16063735439674448
0.1434,0.13962560616560132
0.124,0.1188750957346891
0.1047,0.09838878465511139
0.0857,0.07816928610490606
0.067,0.05821887388803021
0.0486,0.03853949178250221
0.0304,0.019132763217907106
0.0125,1.2621995670869524e-09
-0.0052,-0.018857781102606497
-0.0225,-0.03743986043655423
-0.0397,-0.05574579205051716
-0.0565,-0.07377539898879193
-0.0731,-0.09152876080676958
-0.0894,-0.10900620216510215
-0.1055,-0.12620828126192318
-0.1213,-0.14313577812471573
-0.1368,-0.15978968278349287
-0.1521,-0.17617118334696608
-0.1671,-0.19228165400334885
-0.1819,-0.20812264296739058
-0.1964,-0.22369586039519707
-0.2106,-0.23900316628818363
-0.2247,-0.25404655840748425
-0.2384,-0.26882816021986666
-0.252,-0.28335020889604345
-0.2653,-0.2976150433820235
-0.2784,-0.31162509256388116
-0.2912,-0.32538286354601575
-0.3038,-0.3388909300626791
-0.3162,-0.352151921042144
-0.3284,-0.3651685093425562
-0.3404,-0.3779434006780973
-0.3521,-0.390479322753596
